metric,insurer,line,value_type,year_quarter,value
direct_losses,1675,дмс,base,2024-07-01,0.9340395800499999
direct_losses,1675,нс и оглс,base,2020-07-01,0.0220161247499999
direct_losses,1675,нс и оглс,base,2021-07-01,0.13682597294999999
direct_losses,1675,нс и оглс,base,2022-07-01,0.86996092843
direct_losses,1675,нс и оглс,base,2023-07-01,1.00335532549
direct_losses,1675,нс и оглс,base,2024-07-01,0.9791005130899999
direct_losses,1675,осаго,base,2020-07-01,0.42711483882
direct_losses,1675,осаго,base,2021-07-01,0.68972175318
direct_losses,1675,осаго,base,2022-07-01,1.09151354468
direct_losses,1675,осаго,base,2023-07-01,0.9072608975299998
direct_losses,1675,осаго,base,2024-07-01,0.63633551002
direct_losses,1688,нс и оглс,base,2020-07-01,0.00378894
direct_losses,1820,дмс,base,2020-07-01,0.0086720211199998
direct_losses,1820,дмс,base,2021-07-01,0.01582457228
direct_losses,1820,дмс,base,2022-07-01,0.0124443547899999
direct_losses,1820,дмс,base,2023-07-01,0.0146697589
direct_losses,1820,дмс,base,2024-07-01,0.01906938768
direct_losses,1820,нс и оглс,base,2020-07-01,1.0833e-05
direct_losses,1820,нс и оглс,base,2021-07-01,0.00057752707
direct_losses,1820,нс и оглс,base,2024-07-01,0.00015
direct_losses,1820,осаго,base,2020-07-01,0.0007534733700000001
direct_losses,1820,осаго,base,2021-07-01,0.0003853829999999
direct_losses,1834,дмс,base,2020-07-01,0.8765972714199999
direct_losses,1834,дмс,base,2021-07-01,1.0921346118999997
direct_losses,1834,дмс,base,2022-07-01,1.21906796963
direct_losses,1834,дмс,base,2023-07-01,1.2768273885399999
direct_losses,1834,дмс,base,2024-07-01,1.44171067559
direct_losses,1834,нс и оглс,base,2020-07-01,0.3170821734999998
direct_losses,1834,нс и оглс,base,2021-07-01,0.39059578451
direct_losses,1834,нс и оглс,base,2022-07-01,0.4673515080199999
direct_losses,1834,нс и оглс,base,2023-07-01,0.44959599653999993
direct_losses,1834,нс и оглс,base,2024-07-01,0.43090569084999997
direct_losses,1834,осаго,base,2020-07-01,2.0142106553400003
direct_losses,1834,осаго,base,2021-07-01,2.25701768929
direct_losses,1834,осаго,base,2022-07-01,2.04016573252
direct_losses,1834,осаго,base,2023-07-01,2.0135792181800003
direct_losses,1834,осаго,base,2024-07-01,2.4186717687
direct_losses,1858,дмс,base,2020-07-01,0.01044043446
direct_losses,1858,дмс,base,2021-07-01,0.007526863229999899
direct_losses,1858,дмс,base,2022-07-01,0.01182164141
direct_losses,1858,дмс,base,2023-07-01,0.0019711363799999
direct_losses,1858,дмс,base,2024-07-01,0.0017141107999999
direct_losses,1858,нс и оглс,base,2020-07-01,0.0009849947499999
direct_losses,1858,нс и оглс,base,2021-07-01,0.0009374097799998999
direct_losses,1858,нс и оглс,base,2022-07-01,0.0010287034199999
direct_losses,1858,нс и оглс,base,2023-07-01,0.0005922439499999
direct_losses,1858,нс и оглс,base,2024-07-01,0.00031191019999999995
direct_losses,1858,осаго,base,2020-07-01,0.72721715845
direct_losses,1858,осаго,base,2021-07-01,0.7821141870499998
direct_losses,1858,осаго,base,2022-07-01,0.62148083126
direct_losses,1858,осаго,base,2023-07-01,0.4644677312599999
direct_losses,1858,осаго,base,2024-07-01,0.38128771703
direct_losses,2027,дмс,base,2020-07-01,5.0766740000000006e-05
direct_losses,2027,дмс,base,2021-07-01,5.183509999999999e-05
direct_losses,2027,дмс,base,2022-07-01,7.236623000000001e-05
direct_losses,2027,дмс,base,2023-07-01,0.00064836
direct_losses,2027,дмс,base,2024-07-01,0.0061012549899999
direct_losses,2027,нс и оглс,base,2020-07-01,0.0035972787799999
direct_losses,2027,нс и оглс,base,2021-07-01,0.00290753353
direct_losses,2027,нс и оглс,base,2022-07-01,0.0020827722699999
direct_losses,2027,нс и оглс,base,2023-07-01,0.00479855033
