1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
107,4105,"ООО ""Страховая компания ""СиВ Лайф""",Москва,423612345.40806,4423457.11181,143253899.73808,143253899.73808,48152480.65586,0,280358445.66998,280358445.66998,89227745.66998,0,0,191130700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33919502.67902
108,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,160521653.60289,0,0,0,0,0,160521653.60289,19226877.10597,6954867.10597,6586000,0,12272010,141294776.49692,26481995.23577,105570.346,0,1162229.72497,2583933.23866,3847318.32605,0,0,17516010.695,1266932.90509,63386046.46175,301600,301600,0,0,328089.992,52137668.46,0,214100,3508536.72522,6896051.28453,0,51426734.7994,0,0,0,0,0,0,0,0
109,0585,"ООО ""СФ ""Адонис""",Пермь,31206602973.8886,0,0,0,0,0,51623373.88862,17805746.57729,12152078.0275,0,0,5653668.54979,33817627.31133,33607712.11933,6497805.8612,0,0,85000,82436.97306,11377,0,10705859.39692,16225232.88815,209915.192,21500,21500,0,0,0,0,0,0,188415.192,0,0,0,0,0,0,31154979600,3210000,31151769600,0,0
110,3507,"ООО ""Хоум Кредит Страхование""",Москва,345913112.29298,0,0,0,0,0,345913112.29298,183740791.8374,183740791.8374,0,0,0,162172320.45558,84828525.45558,0,0,0,0,0,0,0,968816.98034,83859708.47524,77227995,0,0,0,0,0,0,0,0,77227995,0,0,115800,0,0,0,0,0,0,0,0
111,4358,ООО «РСХБ-Страхование жизни»,Москва,216972889.18197,122517.6951,55417989.24047,55417989.24047,0,0,161554899.9415,161554899.9415,704170,0,0,160850729.9415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54095217.97748
112,2182,ООО «СК «Надежда»,Красноярск,47511375.99334,0,0,0,0,0,47511375.99334,46568842.1216,4345995.1016,0,0,42222847.02,942533.87174,910292.13974,748016.85,0,0,0,0,0,0,5152.4026,157122.88714,9374,700,700,0,0,0,0,0,0,6674,2000,0,22867.732,0,0,0,0,0,0,0,0
113,4372,ООО «Страховая компания «Манго»,Москва,9982693.9925,0,0,0,0,0,9982693.9925,433136,433136,0,0,0,9549557.9925,6435085,0,0,0,0,0,0,0,0,6435085,3086550,0,0,0,0,0,0,0,0,3086550,0,0,27922.9925,0,0,0,0,0,0,0,0
114,3954,"ООО РСО ""ЕВРОИНС""",Смоленск,277804637.94275,90591341.43,0,0,0,0,277804637.94275,54607521.614,17946868.363,0,0,36660653.251,223197116.32875,153247406.14661,5161365.7334,0,0,78345082.258,6355776.187,4455519.5836,3921289.7856,49279008.873,9650653.51161,68066724.77574,317400,317400,0,0,0,12726436.777,0,3199538.565,51171349.43374,652000,0,1882985.4064,0,0,0,0,0,0,0,0
115,3828,"ООО СК ""Альянс Жизнь""",Москва,714403838.20041,47092210.96797,120653297.57124,120545785.9071,17811611.39189,107511.66414,593750540.62917,593750540.62917,246190141.33925,0,0,347560399.28992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8440869.29066
116,3767,"ООО СК ""АСКОР""",Москва,10751998.37725,0,0,0,0,0,10751998.37725,4944562.02166,4944562.02166,0,0,0,5807436.35559,4945391.45559,3128359.62059,0,1286939.1,0,110742.635,0,0,239440,179910.1,696189.1,4200,4200,0,0,0,0,0,0,691989.1,0,0,165855.8,0,0,0,0,0,0,0,0
117,3398,"ООО СК ""ВТБ Страхование""",Москва,7587123207.468,60781179.567,0,0,0,0,7587113207.468,5218006971.363,2344535353.396,0,0,2873471617.967,2369106236.105,1690993233.208,6260978.157,1567933.973,0,0,719109.806,0,0,982810692.016,699634519.256,278347258.06,0,0,0,0,0,500000,21789936.991,1184042.95,251144162.804,3729115.315,590,399765154.837,0,0,0,10000,10000,0,0,0
118,3870,"ООО СК ""ДЕЛО ЖИЗНИ""",Москва,8623252.40021,0,4124709.044,4124709.044,0,0,4498543.35621,4498543.35621,4498543.35621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,3847,"ООО СК ""НСГ""",Москва,259269034.69657,58580,0,0,0,0,250974034.69657,129807471.3715,5658662.2275,0,0,124148809.144,121166563.32507,108833586.37507,438475,0,54865373.84006,0,42117901.55524,0,0,9756784.19248,1655051.78729,12332976.95,11180,11180,0,0,11994395.8,0,0,0,327401.15,0,0,0,0,0,0,8295000,8295000,0,0,0
120,3268,"ООО СК ""Паритет-СК""",Москва,17275214438.0996,938200,0,0,0,0,26851438.09958,4574905.89287,3030958.34085,0,0,1543947.55202,22276532.20671,7572970.90141,854388.85045,0,54867.997,13160.25,327272.35805,0,0,5382888.41451,940393.0314,14696409.6358,269650,263850,0,0,22986,0,100,219100,14182573.6358,2000,0,7151.6695,0,0,0,17248363000,2155000,17246208000,0,0
121,0013,"ООО СК ""РЕСО-Шанс""",Москва,800,0,0,0,0,0,800,200,200,0,0,0,600,0,0,0,0,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,3879,"ООО СК ""Росгосстрах Жизнь""",Москва,274088476.47796,11479926.22999,77960057.86377,77960057.86377,0,0,196128418.61419,196128418.61419,166888946.29602,0,0,29239472.31817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32093820.06556
123,3692,"ООО СК ""Сбербанк страхование жизни""",Москва,3892556257.66217,0,3173136040.25348,3173136040.25348,2391252689.916,0,719420217.40869,719420217.40869,31159887.12279,0,0,688260330.2859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299193903.75311
124,4331,"ООО СК ""Сбербанк страхование""",Москва,19067531890.3039,0,0,0,0,0,19066968794.3039,10740153138.1165,425918071.672,0,0,10314235066.4445,8326815656.18737,6153147456.75297,2010965.10698,194981445.47797,19285941.3528,6831006.328,1266460.83984,7414391.56344,4697247.30294,1894043557.37256,4027313688.71138,1177140514.96538,125826,125826,0,0,51931317.725,0,24663808.88641,13922947.27588,1086446615.07809,50000,32054695.44146,964472989.02756,0,0,0,563096,555000,8096,0,0
125,3511,"ООО СК ""Согласие-Вита""",Москва,178701860.69937,1495904.1182,141965650.18554,141965650.18554,127924501.32284,0,36736210.51383,36736210.51383,2054020.00263,0,0,34682190.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6763202.40503
126,1623,"ООО СК ""Тюмень-Полис""",Тюмень,55629942.6657,0,0,0,0,0,55629942.6657,20192384.61951,20192384.61951,0,0,0,35437558.04619,22282318.96904,197753.104,0,0,1000,0,0,0,4186878.91576,17896686.94928,325650,0,0,0,0,0,0,0,0,325650,0,0,12829589.07715,0,0,0,0,0,0,0,0
