1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
4,3064,"АО ""Боровицкое страховое общество""",Москва,79787.30501,-,-,-,-,63034.66723,36225.1818,19102.59321,-,-,17122.58859,26809.48543,12538.50034,7697.94826,-,-,-,168.79073,-,-,4371.14175,300.6196,14270.98509,1.2,-,-,-,-,259.60057,1140.56578,12869.61874,-,-,-,-,-,16752.63778,16752.63778,-,-,-
5,1284,"АО ""Группа Ренессанс Страхование""",Москва,5476965.84782,-,-,-,-,5231521.85889,1199208.25306,810085.23843,-,-,389123.01463,4032313.60583,2503114.65901,1859794.01664,63.23867,-,18401.57003,12375.62969,-,-,28040.47626,584439.72772,63554.57218,17502.43466,-,-,103.74682,-,2039.3482,43907.5625,1.48,-,1465644.37464,-,-,-,245443.98893,242711.22365,514.19049,2218.57479,-
6,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,2872624.34887,-,-,-,-,2494641.31514,1246708.83473,1223126.80718,-,-,23582.02755,1247932.48041,1147460.45527,934646.51037,-,560.10667,2196.06013,9409.2197,1010.23115,-,36311.5473,163326.77995,18890.70639,421.64065,-,3.69,936.06551,194.64315,370.4995,16964.16758,-,142.73536,81438.58339,-,-,-,377983.03373,373750.01094,1477.14755,2755.87524,-
8,1412,"АО ""Д2 Страхование""",Новосибирск,582270.51849,-,-,-,-,582270.51849,330581.19964,323643.66468,-,-,6937.53496,251689.31885,139403.06805,34110.05435,-,-,-,398.21096,-,-,170.17,104724.63274,23931.92972,-,-,-,-,-,-,23931.92972,-,-,88354.32108,-,-,-,-,-,-,-,-
9,0055,"АО ""ДальЖАСО""",Хабаровск,28964.1757,-,-,-,-,28964.1757,11395.46167,2578.49288,-,-,8816.96879,17568.71403,17290.04501,628.16649,395.9495,-,0.92559,15084.38704,-,-,545.405,635.21139,277.00847,-,-,-,-,-,-,205.60847,71.4,-,1.66055,-,-,-,-,-,-,-,-
10,4009,"АО ""ЕРВ Туристическое Страхование""",Москва,68501.1515,-,-,-,-,68501.1515,49450.704,19.48622,-,-,49431.21778,19050.4475,35.24494,-,-,-,-,-,-,-,-,35.24494,16.38368,-,-,-,-,-,-,16.38368,-,-,18998.81888,-,-,-,-,-,-,-,-
11,1427,"АО ""МАКС""",Москва,2566817.9319,-,-,-,-,2443984.29413,693593.70328,589638.0613,-,-,103955.64198,1750390.59085,792468.13702,696027.77322,7741.83325,-,270.42079,563.0101,2220.24965,2220.24965,9504.4527,76140.39731,23409.54934,6358.01629,-,-,334.3289,3816.81532,286.20085,10263.28542,2350.90256,30.52768,934482.37681,-,-,-,122833.63777,118541.15863,576.9694,3715.50974,-
12,3256,"АО ""МетЛайф""",Москва,1231442.4611,879648.17711,855183.12166,726559.35748,24465.05545,351794.28399,351794.28399,317721.29949,-,-,34072.9845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2346,"АО ""ОСК""",Самара,487646.24422,-,-,-,-,377202.50521,45377.72074,27375.59278,-,-,18002.12796,331824.78447,313078.14243,250204.1938,56.87746,31,26351.91314,3825.69209,62.70591,-,18090.84466,14454.91537,18061.787,1079.77408,-,57.24962,1316.44499,4.02,1611.72944,13566.84642,425.72245,-108.62166,793.4767,-,-,-,110443.73901,109047.92642,546.8785,848.93409,-
14,3748,"АО ""Русский Стандарт Страхование""",Москва,1725668.84992,1043120.21978,1043120.21978,-,-,682548.63014,682548.63014,433154.05145,-,-,249394.57869,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
