1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
126,4381,НКО «ПОВС «РП»,Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,1412,"АО ""Д2 Страхование""",Новосибирск,10894.39352,954.40507,-,-,-,-,10892.77505,9634.16677,6543.5759,-,-,3090.59087,1258.60828,758.75465,382.95,-,-,-,-,-,-,-,375.80465,-,-,-,-,-,-,-,-,-,-,-,-,499.85363,-,-,-,-,-,-,-,-,-
128,3972,"ООО ""СК ""Ренессанс Жизнь""",Москва,12801469.84701,9869.30547,12697380.73208,12650308.37679,176593.43464,47072.35529,104089.11493,104089.11493,33682.69394,-,-,70406.42099,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9978691.50585
129,0630,"АО ""СК ГАЙДЕ""",Санкт-Петербург,2364773.49327,-,-,-,-,-,718304.95555,169212.22414,46547.43254,-,-,122664.7916,549092.73141,541774.97589,520608.08797,619.60948,-,90.6,133.67335,-,-,2407.9564,17915.04869,4132.18064,3973.02076,3973.02076,-,-,-,-,-,-,159.15988,-,-,3185.57488,-,-,-,1646468.53772,1639395.53772,10,7063,-,-
130,3823,"ООО ""СК ""Ингосстрах-Жизнь""",Москва,6216791.46367,164750.80532,5811199.06528,5543208.65738,100615.7921,267990.4079,405592.39839,405592.39839,396376.25254,-,-,9216.14585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5096405.9739
131,4326,"ООО ""КПСК""",Симферополь,39333.76344,-,-,-,-,-,39333.76344,28391.84688,210,-,-,28181.84688,10941.91656,8349.89159,3847.182,-,-,-,-,-,-,3863.00408,639.70551,2592.02497,-,-,-,-,-,-,-,-,2592.02497,-,-,-,-,-,-,-,-,-,-,-,-
132,4209,"ООО ""Кофас Рус Страховая Компания""",Москва,137743.4501,-,-,-,-,-,137743.4501,-,-,-,-,-,137743.4501,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137743.4501,-,-,-,-,-,-,-,-,-,-
133,0141,"САО ""Медэкспресс""",Санкт-Петербург,523666.24176,2479.27221,-,-,-,-,497478.14265,486674.46829,7326.65,-,-,479347.81829,10803.67436,10727.27436,10224.39536,-,-,-,300,-,-,72.579,130.3,76.4,-,-,-,-,-,-,-,-,76.4,-,-,-,-,-,-,26188.09911,26188.09911,-,-,-,-
134,3866,"ООО ""ВСК-Линия жизни""",Москва,11673225.45021,30074.38842,10573058.32621,10570596.29631,2282.86386,2462.0299,11448.68034,11448.68034,11302.68034,-,5049.0073,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1088718.44366,1088718.44366,-,-,-,-,-,-,10511966.34721
135,2243,"ПАО ""АСКО-СТРАХОВАНИЕ""",Челябинск,6074744.86245,-,-,-,-,-,387455.99904,48636.22746,8784.69905,-,-,39851.52841,338819.77158,337478.70164,314467.6443,-,-,-,-,-,-,980.81616,22030.24118,1341.06994,266.85188,266.85188,-,-,-,-,-,289.77219,784.44587,-,-,-,-,-,-,5687288.86341,5687288.86341,-,-,-,-
136,2947,"АО СК ""РСХБ-Страхование""",Москва,4126648.59263,-,-,-,-,-,4126648.59263,1295433.16178,1044044.49449,-,-,251388.66729,2831215.43085,2824592.5819,46934.15944,-,-,-,-,1720215.26714,794199.11773,977826.88177,79616.27355,3769.71661,357.303,357.303,-,-,-,-,-,1824.5,1587.91361,-,-,2853.13234,-,-,-,-,-,-,-,-,-
137,0013,"ООО СК ""РЕСО-Шанс""",Москва,43.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.9,43.9,-,-,-,-
138,0436,"ООО ""АМТ Страхование""",Москва,58430.56547,21571.92773,-,-,-,-,58430.56547,2.2,2.2,-,-,-,58428.36547,52411.45181,-,-,-,52411.45181,-,-,-,-,-,6016.91366,-,-,-,-,-,6016.91366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Количество страховых выплат по договорам,,,,4218994,X,515679,505723,X,9956,2238155,1568013,139275,X,X,1428738,670142,615568,471967,0,2,17,4,983,0,X,142595,6239,2122,1228,894,0,4,0,X,X,3964,149,X,48335,0,X,X,1465160,1465160,X,X,X,X
страхования с физическими лицами,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Количество страховых выплат по договорам страхования ,,,,34142295,X,454112,74335,X,379777,33407252,32928409,109336,23,68,32819073,478843,309449,226055,3560,102,346,68060,230,128,10647,449,15681,3964,1972,1992,259,268,790,579,1249,6123,2449,2551,151162,41502,41502,X,239429,236752,529,2148,X,X
с индивидуальными предпринимателями и юридическими ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
лицами,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
