"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",362312953068.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1160735338.594,822680827.814,97276187.503,6180715.249,906000,120774051.77,48725,597495148.292,338054510.78,0,106501884.552,231552626.228,947934979.74,838531633.157,103055438.92,92950566.525,10104872.395,4117027.042,125152,748816.409,728318.659,20497.75,161693995.237,9539624.481,7871200.944,3897936.245,0,3973264.699,0,1668423.537,0,0,1668423.537,0,380558623.293,0,91036359.125,289522264.168,178692955.775,26907903.545,131040957.391,20744094.839,95764767.253,5456050,4945550,0,510500,30000,27050,2572920.674,2572920.674,0,2520061.808,5250,0,2514811.808,1753497.6,1753497.6,0,82786222.229,12989405.564,7112190,10431700.002,77800,52175126.663,618964.942,0,0,0,0,0,0,0,230000,388964.942,1714440.728,11924138.602,34.45,0,11924104.152,,,,,,,,,0,93855000,67245000,0,2680000,23930000,360110427750,0,0,0,0,0,0,163755675,906225975,899268075,6957900,328110393600,68862810150,38868781500,14659785000,205719016950,9445612500,21484440000,0
1858,"Акционерное общество Страховая компания ""Армеец""",5024413.99769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1409363.74307,689888.74307,0,0,0,1855,0,688033.74307,719475,0,0,719475,3615050.25462,2625375.4552,1364800,1364800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552489.08285,105257.14088,1049.99998,446181.94199,708086.37235,619916.20735,86599.165,1571,984889.99998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984889.99998,3549.99998,0,0,0,981340,0,0,0,0,0,0,0,0,0,0,0,4784.79944,0,0,4784.79944,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",38662099.44783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,20649416.22499,17802016.22499,13240667.982,0,0,0,0,4561348.24299,2847400,0,0,2847400,18012683.22284,16512598.22284,12358255.427,12358255.427,0,0,0,0,0,0,917847.49347,0,0,0,0,0,0,0,0,0,0,0,2553888.85714,0,0,2553888.85714,682606.44523,581406.63568,87649.01855,13550.791,1150085,110700,110700,0,0,0,0,0,0,0,0,0,0,0,460000,460000,0,579385,0,0,0,0,579385,0,0,0,0,0,0,0,0,0,0,0,350000,0,0,350000,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",56554074.62341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,31970770.20076,25330291.61226,0,0,0,23307529.13319,0,2022762.47907,6640478.5885,6002304.1205,15633.667,622540.801,24583304.42265,18236024.86543,4830383.6743,4830383.6743,0,0,0,9278.2,0,9278.2,1965710.75436,0,0,0,0,0,0,0,0,0,0,0,7626253.38089,40736.3034,0,7585517.07749,3804398.85588,3173051.77688,238401.352,392945.727,5590116.73,137000,137000,0,0,0,0,15290,0,15290,0,0,0,0,4774500,41500,4733000,646826.73,2000,0,111600,0,533226.73,16500,0,0,0,0,0,0,0,16500,0,0,757162.82722,0,0,757162.82722,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",601030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,4830,4830,0,0,0,4830,0,0,0,0,0,0,596200,596200,0,0,0,0,0,0,0,0,123700,0,0,0,0,0,0,0,0,0,0,0,472500,0,0,472500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",1963532075521.0928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,31689591274.5832,15577963183.174,0,13113346817.5014,0,453642626.8781,0,2010973738.7945,16111628091.4092,0,14694560602.5602,1417067488.849,17044327638.5097,8710300304.3468,677733174.25,677733174.25,0,11750792.7034,207189976.8404,640702572.9151,540649160.2143,100053412.7008,755043516.6433,201920141.0755,102370134.2556,15595165.2808,0,86774968.9748,0,99550006.8199,0,0,99550006.8199,0,4851242965.5088,182691170.6712,553467478.4314,4115084316.4062,1364717164.4103,906252147.3495,20960992.7162,437504024.3446,6887665869.6215,192068899.26,192068899.26,0,0,0,1940320520.7576,3382874833.6806,2661305152.3215,721569681.3591,14668000,14668000,0,0,72464177.3943,60468772.287,11995405.1073,1283514389.4316,53599762.0267,4062950,35036501.003,11014876.504,1179800299.8979,1755049.0974,0,282777.8638,0,0,0,0,0,75100,1397171.2336,554780841.2591,891580623.2823,773764523.5134,0,117816099.7689,,,,,,,,,0,246920000,188250000,10640000,4110000,43920000,1914551236608,1229757202432,75304960,1229681897472,200032256,200032256,0,156233728,4383369216,4125063168,258306048,566256828416,37900599296,182157205504,83957204992,262241818624,13265506304,100532064256,0
2346,"Акционерное общество ""Объединенная страховая компания""",125241441.07496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,59521661.767,9287740.92974,105156.8087,0,0,1771366.114,0,7411218.00704,50233920.83726,1699961.7263,36937179.29596,11596779.815,65719779.30796,58981137.9773,14985898.0797,14313848.1377,672049.942,0,1600,690638.41291,347000,343638.41291,9595432.27384,0,0,0,0,0,0,0,0,0,0,0,26196492.70023,9989557.40246,19030.37151,16187904.92626,7511076.51062,2825363.62903,851335.00929,3834377.8723,4578463.20038,489100,489100,0,0,0,149931.488,1238526.9,722447.8,516079.1,2000,0,0,2000,1330783.52365,89874.72,1240908.80365,1366101.875,14055.595,0,0,4000,1348046.28,2019.41373,0,0,0,0,0,0,0,2000,19.41373,0,2160178.13028,38368.76336,0,2121809.36692,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",139559396953.94183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,436688744.31424,410671041.7702,307942774.1791,0,1318000,1882582.864,0,99527684.7271,26017702.54404,0,0,26017702.54404,1842906784.62758,1394643720.08351,17439039.61893,17439039.61893,0,63923.038,0,44304165.77488,10272394.4357,34031771.33918,843371315.35997,8436063.68087,8231703.05387,7894336.50281,0,337366.55106,0,204360.627,204360.627,0,0,0,360936012.01998,13467050.24248,79408066.11943,268060895.65807,120093200.59088,95005244.80637,100500,24987455.78451,357837431.1352,2391638.69693,2391638.69693,0,0,0,1000,237107883.56508,0,237107883.56508,0,0,0,0,52950430.45584,16658648.85412,36291781.60172,65373478.41735,3247683.4759,0,0,110059.91,62015735.03145,13000,0,0,0,0,0,0,0,13000,0,13987780.7886,76437852.62027,33847.27567,0,76404005.3446,,,,,,,,,0,7892500,4292500,10000,240000,3350000,137271908925,0,0,0,0,0,0,34222500,1196216100,980172900,216043200,136041470325,8670509325,53156029275,6655555350,67559376375,0,0,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",993339682.59155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,916740228.05614,634776848.04565,0,0,0,19040449.64369,0,615736398.40196,281963380.01049,251181.6755,46265908.57799,235446289.757,76599454.53541,67390277.53312,15811519.86237,15811519.86237,0,0,0,110900,0,110900,7204875.53697,118241,0,0,0,0,0,118241,0,0,118241,0,19925629.74731,0,15101.38715,19910528.36016,24219111.38647,1529715.15201,2089326.46016,20600069.7743,7190529.60295,5621000,5621000,0,0,0,0,12000,0,12000,0,0,0,0,15000,500,14500,1518029.60295,723121.1,0,0,0,794908.50295,24500,0,0,0,24500,0,0,0,0,0,0,2018647.39934,0,0,2018647.39934,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",54434399.10506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,9460820.45706,9406220.45706,0,0,0,104424.78512,0,9301795.67194,54600,0,26200,28400,44973578.648,10538088.854,10538088.854,10538088.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871000,871000,871000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33564489.794,0,0,33564489.794,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2708,Акционерное общество «Баланс Страхование»,39688929.64196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39688929.64196,32684621.16785,0,0,0,0,0,0,0,0,6083268.9978,0,0,0,0,0,0,0,0,0,0,0,26601352.17005,0,0,26601352.17005,0,0,0,0,1466000.5,0,0,0,0,0,0,1202845.5,1202845.5,0,0,0,0,0,0,0,0,263155,28500,0,0,0,234655,0,0,0,0,0,0,0,0,0,0,0,5538307.97411,0,0,5538307.97411,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",200280034.04582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,103585793.543,546806.625,7606.625,0,0,0,0,539200,103038986.918,68542090.143,0,34496896.775,96694240.50282,70590342.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70590342.372,0,0,70590342.372,23967623.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23967623.532,0,0,0,0,23967623.532,0,0,0,0,0,0,0,0,0,0,0,2136274.59882,2136274.59882,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",106364326.81994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,61835978.10486,35453458.10486,2479.251,0,0,34946600,0,504378.85386,26382520,0,26379170,3350,44528348.71508,44528248.71508,2380135.71675,2380135.71675,0,0,0,0,0,0,23999417.5376,0,0,0,0,0,0,0,0,0,0,0,17839794.86734,0,0,17839794.86734,308900.59339,15990,1485,291425.59339,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",90465721.07596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,97800,97800,0,0,0,97800,0,0,0,0,0,0,90367921.07596,4977939.89586,0,0,0,0,70300.2,0,0,0,4774686.31986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132953.376,0,0,132953.376,85188484.4691,0,0,0,0,0,35151200,0,0,0,0,0,0,0,14060040,0,14060040,35977244.4691,0,0,0,0,35977244.4691,0,0,0,0,0,0,0,0,0,0,0,201496.711,0,0,201496.711,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",968674183.69214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,82931964.04096,79403464.04096,14525198.2495,19231950,0,2622112.10443,0,43024203.68703,3528500,0,31500,3497000,885102219.65118,823560801.70508,6684089.87086,6684089.87086,0,1529428.7168,0,3750,0,3750,2253377.37344,247859420.23249,141928589.52873,63295577.42923,433011.3755,77022199.522,1177801.202,105930830.70376,10311689.87559,758194.70462,93842656.01208,1018290.11147,523433072.09024,6977582.63853,33159007.45152,483296482.00019,41797663.42125,5756726.65399,0,36040936.76726,7033955.56486,320500,320500,0,0,0,0,5000,0,5000,0,0,0,0,59000,0,59000,6639455.56486,765887.95,0,8000,0,5865567.61486,10000,0,0,0,0,0,0,0,0,10000,10234256.96358,44273205.41766,183.81203,0,44273021.60563,,,,,,,,,0,640000,640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",54259017.337960005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,37014941.2681,11874191.8931,282794.1464,3479200,0,0,0,8112197.7467,25140749.375,1930145.089,0,23210604.286,17244076.06986,11998471.04203,6327900,6327900,0,0,0,0,0,0,2817821.14127,0,0,0,0,0,0,0,0,0,0,0,2758075.5831,0,0,2758075.5831,94674.31766,0,0,94674.31766,5242605.02783,2000,2000,0,0,0,0,0,0,0,0,0,0,0,13828.76519,0,13828.76519,4898676.26264,0,0,0,0,4898676.26264,328100,0,0,0,0,0,0,0,289100,39000,0,3000,0,0,3000,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",713978135.40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2883300,600,0,0,0,0,0,600,2882700,0,0,2882700,711094835.40052,710480835.40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710480835.40052,0,0,710480835.40052,614000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614000,0,0,0,0,614000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
