Сведения о количестве заявленных страховых случаев,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
162,2346,  ОБЪЕДИНЕННАЯ СТРАХОВАЯ КОМПАНИЯ,Самара,14223,0,0,0,0,0,7225,1244,501,0,0,743,5981,5948,5824,0,0,1,5,0,0,45,73,33,0,0,0,0,0,24,24,0,0,0,0,0,9,0,0,0,0,0,0,6998,6982,0,16,0
163,4314,  ОВС ЗАСТРОЙЩИКОВ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,4348,  ОВС МЕД,Тюмень,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4301,  ОВС НОВС,Камышин,46,0,0,0,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
166,4293,  ОЙЛЕР ГЕРМЕС РУ,Москва,28,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
167,3099,  ОПОРА,Москва,5793,0,0,0,0,0,5790,4850,241,0,0,4609,940,827,727,0,0,0,6,0,0,11,83,26,0,0,0,0,0,19,19,0,0,0,0,4,3,0,0,87,0,0,0,3,2,0,1,0
168,326,  ОРБИТА,Москва,1611,0,0,0,0,0,1611,1576,0,0,0,1576,35,27,13,0,0,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
169,4008,  ОСЖ РЕСО-ГАРАНТИЯ,Москва,74,0,59,59,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3645,  ОТКРЫТИЕ СТРАХОВАНИЕ ЖИЗНИ,Москва,213,0,213,201,174,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,173,  ПАНАЦЕЯ,Ростов-на-Дону,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,915,  ПАРИ,Москва,16118,0,0,0,0,0,15316,12125,143,0,0,11982,3191,3006,2165,0,0,2,666,0,0,110,63,65,0,0,0,0,0,7,6,0,0,1,0,5,48,5,0,120,0,0,0,802,802,0,0,0
173,3268,  ПАРИТЕТ-СК,Москва,1107,0,0,0,0,0,586,378,36,0,0,342,208,203,185,0,0,0,6,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,521,521,0,0,0
174,2284,  ПЛАТО,Москва,203,0,0,0,0,0,203,197,192,0,0,5,6,5,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3568,  ПОВОЛЖСКИЙ СТРАХОВОЙ АЛЬЯНС,Сызрань,8124,0,0,0,0,0,1254,380,270,0,0,110,874,870,832,0,0,0,0,0,0,3,35,4,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,6870,6870,0,0,0
176,1111,  ПОДМОСКОВЬЕ,Подольск,4124,0,0,0,0,0,1031,733,133,0,0,600,298,258,208,0,0,0,0,0,0,2,48,40,0,0,0,0,0,10,10,0,0,0,0,1,29,0,0,0,0,0,0,3093,3093,0,0,0
177,3390,  ПОЛИС-ГАРАНТ,Москва,4679,0,0,0,0,0,4182,2465,0,0,0,2465,1717,1690,1683,0,0,0,0,0,0,3,4,13,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,14,0,0,0,497,497,0,0,0
178,3609,  ППФ СТРАХОВАНИЕ ЖИЗНИ,Москва,6070,0,5026,4368,0,658,1044,1044,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,3889,  ПРЕСТИЖ-ПОЛИС,Москва,1574,0,0,0,0,0,1574,1501,0,0,0,1501,73,73,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3438,  ПРОМИНСТРАХ,Москва,5127,0,0,0,0,0,1436,769,362,0,0,407,667,507,463,0,0,0,1,0,0,23,20,35,0,0,0,0,0,18,17,0,1,0,0,0,16,1,124,1,0,0,0,3691,3610,0,81,0
181,3914,  ПРОМЫШЛЕННАЯ ПЕРЕСТРАХОВОЧНАЯ КОМПАНИЯ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2682,  ПРОФСОДРУЖЕСТВО,Москва,37,0,0,0,0,0,37,37,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,4179,  РАЙФФАЙЗЕН ЛАЙФ,Москва,680,0,660,660,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,72,  РЕГИОНАЛЬНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,915,0,0,0,0,0,915,0,0,0,0,0,915,915,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3621,  РЕГИОНАЛЬНЫЙ СТРАХОВОЙ ЦЕНТР,Москва,188,0,0,0,0,0,188,17,7,0,0,10,171,169,158,0,0,0,0,0,0,1,10,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1908,  РЕГИОНГАРАНТ,Москва,3046,0,120,0,0,120,2283,1641,32,0,0,1609,642,637,611,3,0,1,0,0,0,18,4,5,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,643,635,0,8,0
187,2733,  РЕЗЕРВ,Хабаровск,2996,0,0,0,0,0,2996,2737,2737,0,0,0,259,152,0,0,0,0,0,0,0,2,150,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,103,0,0,0,0,0,0,0,0
188,3972,  РЕНЕССАНС ЖИЗНЬ,Москва,8475,0,7095,7095,2002,0,1380,1380,902,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1209,  РЕСО-ГАРАНТИЯ,Москва,1481745,30356,443,367,0,76,1337019,1222830,6154,0,0,1216676,114189,105978,102005,14,0,3,87,0,0,700,3169,1392,65,65,0,0,0,1171,1168,0,0,3,0,15,137,4,35,6784,0,0,0,144283,144239,12,32,0
190,879,  РЕСО-МЕД,Павловский Посад,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,3492,  РЕСПЕКТ,Рязань,1158,0,0,0,0,0,1158,100,51,0,0,49,1058,920,0,0,0,0,0,0,0,920,0,138,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0
192,3348,  РОМЕД,Москва,2965,105,0,0,0,0,2965,2965,0,0,0,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
