1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
4,3064,"АО ""Боровицкое страховое общество""",Москва,389726.27704,0,0,0,0,0,182996.0129,104308.20805,38386.50905,0,0,65921.699,78687.80485,30198.17481,20023.71065,0,0,0,367.87816,0,0,9027.14477,779.44123,48489.63004,1839.4,1839.4,0,0,0,0,0,579.14002,2663.62667,43407.46335,0,0,0,0,0,206730.26414,206730.26414,0,0,0,0
5,1284,"АО ""Группа Ренессанс Страхование""",Москва,35973277.67052,589788.75281,0,0,0,0,29238034.93537,8539036.05614,2006734.33672,0,0,6532301.71942,20698998.87923,16904936.55522,11732387.44903,461.02505,0,109307.63983,3238667.22049,0,0,791832.10728,1032281.11354,763776.45572,505317.8979,505317.8979,0,0,0,393.0845,176.90725,24652.92485,233228.24122,7.4,0,3030285.86829,0,0,0,7016572.79092,6962275.19986,23066.76294,31230.82812,0,0
6,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,16076063.85605,61212.28211,0,0,0,0,7700455.32657,2310734.67402,1946060.03176,9755.7376,0,364674.64226,5389720.65255,5100740.51426,3875884.0132,0,177295.94409,17072.77801,55187.16993,5172.65853,0,491458.49603,478669.45447,164289.24829,3357.38339,3357.38339,0,0,82687.41908,10393.27447,1892.58821,2223.26882,62350.62027,1384.69405,1143.18851,123547.70149,0,0,0,8375608.52948,8320716.42054,23651.43328,31240.67566,0,0
7,1820,"АО ""ГУТА-Страхование""",Москва,103451.04104,0,0,0,0,0,103451.04104,18033.51047,-41.01853,0,0,18074.529,85417.53057,79219.62757,9403.74713,0,0,713.35746,6669.36726,0,0,61613.98156,819.17416,6197.903,0,0,0,0,0,87.903,0,0,6100,10,0,0,0,0,0,0,0,0,0,0,0
8,1412,"АО ""Д2 Страхование""",Новосибирск,924597.92504,57277.1,0,0,0,0,924597.92504,524114.07076,488384.65706,0,0,35729.4137,400483.85428,203551.06284,38195.1187,0,0,0,1277.61585,0,0,3303.199,160775.12929,36469.65742,0,0,0,0,0,0,0,0,36469.65742,0,0,160463.13402,0,0,0,0,0,0,0,0,0
9,0055,"АО ""ДальЖАСО""",Хабаровск,161976.56842,0,0,0,0,0,161976.56842,82370.05444,11486.30259,0,0,70883.75185,79606.51398,67165.88073,9139.18497,1510.3,0,3.70235,46774.68399,0,0,6041.45991,3696.54951,12436.8178,0,0,0,0,0,139.34,0,0,2843.3068,9454.171,0,3.81545,0,0,0,0,0,0,0,0,0
10,4009,"АО ""ЕРВ Туристическое Страхование""",Москва,721429.02919,0,0,0,0,0,721429.02919,479870.65936,317.1375,0,0,479553.52186,241558.36983,512.37897,0,0,0,0,0,0,0,0,512.37897,46902.49771,0,0,0,0,0,0,0,0,202.98128,46699.51643,0,194143.49315,0,0,0,0,0,0,0,0,0
11,1427,"АО ""МАКС""",Москва,10804843.9299,0,0,0,0,0,5896232.36712,2159258.3238,1177782.41027,0,0,981475.91353,3736974.04332,2604812.26499,2290401.99861,31748.72238,-111.24591,1870.68722,6430.45475,17038.80281,16784.20065,102016.24226,155416.60287,104892.90161,19976.27496,19976.27496,0,0,60.5648,1649.26634,37305.72703,1849.05246,39233.30162,4818.7144,139.9929,1027128.88382,52202.784,52202.784,0,4856408.77878,4798229.85739,11197.39372,46981.52767,0,0
12,3256,"АО ""МетЛайф""",Москва,6024378.74983,0,4008013.71671,3346957.70414,1080779.76079,661056.01257,2016365.03312,2016365.03312,1579866.12979,0,0,436498.90333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2346,"АО ""ОСК""",Самара,2799237.004,141915.55886,0,0,0,0,1401499.74296,186917.05048,73311.72836,0,0,113605.32212,1214582.69248,1150060.13032,887501.81325,220.98165,124,137392.02242,15320.36577,241.44409,0,64260.2754,44999.22774,61127.53478,7072.01443,7072.01443,0,0,234.5576,5198.66077,20.1,4908.5018,42046.46687,1647.23331,1305.99466,2089.03272,0,0,0,1397737.26104,1383867.21982,5505.11426,8364.92696,0,0
14,3748,"АО ""Русский Стандарт Страхование""",Москва,6166340.86786,0,4649285.71479,4649285.71479,0,0,1517055.15307,1517055.15307,1006472.39919,0,0,510582.75388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961925.00738
