1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
143,2890,ООО ВТБ МС,Москва,470622.42,0,0,0,0,0,470622.42,470622.42,0,0,0,470622.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,3954,"ООО РСО  ""ЕВРОИНС""",Смоленск,136681202.84071,1802093.33085,0,0,0,0,136681202.84071,49058311.88361,32205050.16692,0,0,16853261.71669,87622890.9571,64479044.07748,110229.7,0,0,61660.234,57289331.15655,12866.5,0,5409340.95395,1595615.53298,22174791.17705,60700,60700,0,0,0,31000,0,351703.48199,21220769.11506,510618.58,0,969055.70257,0,0,0,0,0,0,0
145,3767,"ООО СК ""АСКОР""",Москва,1126945.6592,0,0,0,0,0,1126945.6592,536314.7536,536314.7536,0,0,0,590630.9056,413396.3756,264538.63391,0,0,0,91089.86669,0,0,0,57767.875,162792.55,1400,1400,0,0,0,0,0,0,161392.55,0,0,14441.98,0,0,0,0,0,0,0
146,3398,"ООО СК ""ВТБ Страхование""",Москва,38539119191.6528,412751570.25646,0,0,0,0,10474948637.4803,5539163634.01713,3070711850.44214,0,0,2468451783.57499,4935785003.46321,4028918199.71242,2468254.00388,3676418.13182,43754611.7297,2544508.405,689206702.44921,0,0,1222758176.3006,2064509528.69221,558009136.80085,833375,833375,0,0,100608974.17223,72723,37780,35286462.4438,421120408.60982,49413.575,23400.75,348834266.19994,100919042.17248,100919042.17248,0,27963251512,58035000,27905216512,0
147,3870,"ООО СК ""ДЕЛО ЖИЗНИ""",Москва,1256386.5143,0,134117.903,134117.903,0,0,1122268.6113,1122268.6113,1118018.5323,0,0,4250.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0902,"ООО СК ""Кайрос""",Петропавловск-Камчатский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1867,"ООО СК ""Коместра-Томь""",Томск,25549131.94321,0,0,0,0,0,25549131.94321,22733407,484083,0,0,22249324,2815724.94321,2524674.52021,1371518.059,0,0,0,12837.511,0,0,707505.07021,432813.88,291050.423,7500,7500,0,0,0,0,0,153000,59060,71490.423,0,0,0,0,0,0,0,0,0
150,3847,"ООО СК ""Независимая страховая группа""",Москва,380470946.35551,9520,0,0,0,0,376425946.35551,63559141.5235,788470.2005,0,0,62770671.323,312866804.83201,278880557.32623,53572.48,0,94619176.66369,0,173343912.26212,0,0,10564294.14042,299601.78,33986247.50578,3700,3700,0,0,11737258.2,0,0,0,22245289.30578,0,0,0,0,0,0,4045000,4045000,0,0
151,0326,"ООО СК ""Орбита""",Москва,13675265.06917,3737173.61566,0,0,0,0,13675265.06917,2708006.63418,2699396.63418,0,0,8610,10967258.43499,998976.46026,10576.72,0,0,397407.74,59574.33706,0,0,525757.37427,5660.28893,9838031.19199,0,0,0,0,1101,5037601.695,0,4600795.934,194032.56299,4500,0,130250.78274,0,0,0,0,0,0,0
152,3268,"ООО СК ""Паритет-СК""",Москва,10722746544.9503,206600,0,0,0,0,12743216.95028,608570.84049,341737.63894,0,0,266833.20155,12134646.10979,10476269.33599,508472.36502,0,0,0,1938713.44821,0,0,8001531.26246,27552.2603,1481247.88886,438200,120700,0,0,0,0,0,40000,1003047.88886,0,0,177128.88494,0,0,0,10710003328,1040000,10708963328,0
153,2682,"ООО СК ""ПРОФСОДРУЖЕСТВО""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0013,"ООО СК ""РЕСО-Шанс""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
