1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
126,1623,"ООО СК ""Тюмень-Полис""",Тюмень,1249.41668,-,-,-,-,1249.41668,-,-,-,-,-,1249.41668,1249.41668,-,-,-,-,-,-,-,1249.41668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,0667,"ООО СК ""УРАЛСИБ СТРАХОВАНИЕ""",Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,3543,"ООО СК ""Экип""",Москва,849.91192,-,-,-,-,849.91192,-,-,-,-,-,849.91192,849.91192,588.33084,-,-,-,-,-,-,-,261.58108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,3572,"ООО СО ""Акцепт""",Кинель,2533.8883,-,-,-,-,2533.8883,-,-,-,-,-,2533.8883,2533.8883,2533.8883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,3245,"ООО СО ""ВЕРНА""",Краснодар,2044.58867,-,-,-,-,2044.58867,-,-,-,-,-,2044.58867,2044.58867,2044.58867,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,2397,"ООО СО ""Геополис""",Москва,1185.95,-,-,-,-,1185.95,-,-,-,-,-,1185.95,1185.95,1185.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,1643,"ООО СПК ""Юнити Ре""",Москва,340759.92779,-,-,-,-,340759.92779,140550.71314,543.96859,-,-,140006.74455,200209.21465,200209.21465,-,-,-,-,-,-,-,200209.21465,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,0397,"ООО Страховая Компания  ""Гелиос""",Москва,-3144.43268,-,-,-,-,-3144.43268,371.11303,371.11303,-,-,-,-3515.54571,-3515.54571,-3515.54469,-,-,-,-,-,-,-0.00102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,1834,"ПАО ""САК ""ЭНЕРГОГАРАНТ""",Москва,25708.13885,-,-,-,-,22520.26508,405.96114,405.96114,-,-,-,22114.30394,22114.30394,18619.36686,-,-,-,-,-,-,1082.94427,2411.99281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3187.87377,-,197.94049,2989.93328,-
135,2243,"ПАО ""СК ЮЖУРАЛ-АСКО""",Челябинск,146856.85203,-,-,-,-,146856.85203,-,-,-,-,-,146856.85203,146856.85203,146856.85203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,0001,"ПАО СК ""Росгосстрах""",Люберцы,308134.62533,-,-,-,-,271577.57449,-,-,-,-,-,271577.57449,238497.36479,61.991,-,19699.52448,97867.04768,-,-,-,115623.36261,5245.43902,33080.2097,-,-,-,-,-,8608.16654,-,18277.63687,6194.40629,-,-,-,-,-,-,36557.05084,-,-,36557.05084,-
137,0621,"САО ""ВСК""",Москва,84870.18275,-,-,-,-,51040.64658,17.36022,17.36022,-,-,-,51023.28636,51023.28636,-,-,50703.91273,-,-,-,-,319.37363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33829.53617,-,-,33829.53617,-
138,0348,"САО ""ЛЕКСГАРАНТ""",Москва,950.54398,-,-,-,-,950.54398,-,-,-,-,-,950.54398,950.54398,899.87892,-,-,-,-,-,-,-,50.66506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,0141,"САО ""Медэкспресс""",Санкт-Петербург,4163.6848,-,-,-,-,4163.6848,14.58334,14.58334,-,-,-,4149.10146,4149.10146,3707.78214,-,-,-,-,-,-,353.31932,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,2182,"САО ""Надежда""",Красноярск,33311.39658,-,-,-,-,33311.39658,-,-,-,-,-,33311.39658,33311.39658,21738.94214,-,-,58.78581,517.42705,-,-,3198.02681,7798.21477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,0177,САО ЭРГО,Москва,15047.21213,-,-,-,-,15047.21213,6072.57225,6072.57225,-,-,-,8974.63988,8743.63164,3237.48731,-,-,-,1141.2277,-,-,1787.43352,2577.48311,189.60707,-,-,-,-,-,-,-,-,189.60707,-,-,41.40117,-,-,-,-,-,-,-,-
142,0928,"СПАО ""Ингосстрах""",Москва,2607904.97797,-,-,-,-,2506956.88428,502412.80239,500,-,-,501912.80239,2004544.08189,1939961.06362,20921.25314,-,108521.13196,165443.31296,15486.74649,-,-,1629588.61907,-,64492.37346,50.85,50.85,-,-,15041.88166,597.98067,-,-,48801.66113,-,-,90.64481,-,-,-,100948.09369,-,828.57947,100119.51422,-
143,1209,"СПАО ""РЕСО-Гарантия""",Москва,784864.95666,-,-,-,-,774653.48684,507011.37616,42192.87905,-,-,464818.49711,267642.11068,197984.08288,29969.36493,-,-,-,9790.69222,-,-,158224.02573,-,11626.16213,11289.47442,11289.47442,-,-,-,-,-,-,336.68771,-,58013.12434,18.74133,-,-,-,10211.46982,-,-,10211.46982,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в том числе,,,,4430323.32965,33861.88553,33861.88553,13266.04432,-,4007487.43646,364423.40972,50323.8642,-,-,314099.54552,3643064.02674,3320296.78746,297108.51907,30482.51742,194529.1542,81142.72352,33920.43067,25212.89496,257.97064,2616161.52416,41739.02346,94629.48599,1320.94415,390.55181,819.01042,52547.40507,13984.95881,10246.36687,-,158.46947,16371.34162,-,221949.31996,6188.43333,-,-,-,388974.00766,-,12540.43446,376433.5732,-
на территории Российской Федерации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
